line,Station_nm,IN_AM,OUT_AM,INOUT_R_AM,IN_LUNCH,OUT_LUNCH,INOUT_R_LUNCH,IN_DINNER,OUT_DINNER,INOUT_R_DINNER,OUT_AM_IN_DINNER_RATIO,IN_AM_OUT_DINNER_RATIO,INOUT_R_NIGHT,OUT_DINNER_IN_NIGHT_RATIO,IN_NIGHT,OUT_NIGHT,06-07 IN,06-07 OUT,07-08 IN,07-08 OUT,08-09 IN,08-09 OUT,09-10 IN,09-10 OUT,11-12 IN,11-12 OUT,12-13 IN,12-13 OUT,13-14 IN,13-14 OUT,16-17 IN,16-17 OUT,17-18 IN,17-18 OUT,18-19 IN,18-19 OUT,19-20 IN,19-20 OUT,20-21 IN,20-21 OUT,21-22 IN,21-22 OUT,22-23 IN,22-23 OUT,23-24 IN,23-24 OUT,00-01 IN,00-01 OUT
2호선,아현,111042,70071,158.470694,57539,40854,140.8405542,81849,106584,76.79295204,85.61008687,104.1826165,37.04716222,482.5207117,22089,59624,11769,11081,30363,15971,42530,27196,26380,15823,18258,11651,19781,13981,19500,15222,26597,20096,27268,24750,26100,33471,16680,28823,11801,19540,10215,20303,7638,20222,3599,14697,637,4402
2호선,봉천,339611,86416,392.9955101,119596,80086,149.3344654,126611,278719,45.42603841,68.25315336,121.8470933,28.57407446,669.1129516,41655,145779,33361,11629,90796,16933,132730,31090,82724,26764,37914,24621,40672,26090,41010,29375,37582,45824,38995,58014,40598,88777,26177,80486,20841,51442,19223,51207,14657,52128,6628,32441,1147,10003
2호선,대림(구로구청),323623,161438,200.4627163,138084,127738,108.0993909,202314,306111,66.09171183,79.79576302,105.7208006,32.33019437,524.1716468,58399,180633,37568,14579,84471,27298,117346,71894,84238,47667,44425,42073,46294,40988,47365,44677,45903,57820,54591,81354,73764,95317,42283,75889,31676,53551,27361,65951,19391,68167,10119,36393,1528,10122
2호선,신도림,511526,309882,165.0712207,260305,259917,100.1492784,485887,615939,78.88557146,63.7765571,83.04815899,67.02767948,302.2286665,203799,304052,61674,26162,161859,49338,172946,139709,115047,94673,78165,80431,87510,87311,94630,92175,103485,106327,121782,135637,167069,206968,107170,172278,89866,101056,91309,95784,73767,98830,34712,74808,4011,34630
2호선,구로디지털단지,586254,563046,104.1218657,245243,191715,127.9206113,616387,595535,103.5013895,91.34618349,98.44156935,53.26039023,344.8218959,172708,324271,62277,24683,164171,82785,214075,283080,145731,172498,78479,58266,81818,59418,84946,74031,91690,93951,132481,131124,257279,189336,139014,165324,87613,109751,75984,113059,60717,116345,30936,73044,5071,21823
2호선,시청,33209,426659,7.783499235,93763,108598,86.33952743,413949,84227,491.468294,103.0704266,39.4279744,365.8821766,86.26987053,97632,26684,2686,18049,6298,70766,10032,243691,14193,94153,28364,35083,29319,33348,36080,40167,55455,27307,87764,28128,197585,29409,75691,17101,52909,9589,49349,9280,33074,9187,13414,6257,1795,1960
2호선,합정,185369,259716,71.37373131,123696,170389,72.59623567,354131,358272,98.84417426,73.33896214,51.73973964,168.9044354,172.7519516,207391,122786,21553,23195,52238,40390,65982,109632,45596,86499,36253,51755,40812,55262,46631,63372,61235,66903,79145,82633,125273,122866,83326,98925,66387,53848,77769,44363,79505,39974,42696,28034,7421,10415
2호선,신답,25507,5440,468.8786765,7199,4952,145.3756058,7478,25057,29.84395578,72.74672372,101.7959053,15.40858109,1447.544772,1731,11234,2061,598,7557,1276,11328,2237,4561,1329,2446,1508,2500,1582,2253,1862,2196,3703,2310,4190,2564,9182,1611,7634,993,4051,790,4371,676,3528,219,2635,46,700
2호선,문래,150433,228657,65.78980744,78589,74547,105.4220827,222109,158387,140.2318372,102.9481021,94.9781232,87.20646336,268.7486214,58935,67581,14518,13588,49718,34922,53995,118864,32202,61283,23611,23481,26947,25015,28031,26051,33605,27974,50513,33959,100639,53724,43554,44637,27403,26067,26680,24322,20680,22770,9831,15229,1744,5260
2호선,양천구청,111188,28001,397.0858184,39066,23111,169.0363896,31118,98669,31.53776769,89.98328941,112.6878756,14.34609792,1333.545074,7399,51575,13783,2662,38609,7109,36269,11183,22527,7047,13316,6231,13533,7324,12217,9556,10123,15285,11112,20206,10724,30991,5485,29507,3797,17965,2937,16680,3177,16356,1133,13394,152,5145
2호선,영등포구청,156981,243963,64.34623283,91641,85284,107.4539187,238255,173964,136.9564967,102.3957525,90.23763537,88.53589033,252.2204341,68973,77904,15669,16200,48322,37498,55557,129257,37433,61008,29186,26240,30061,27684,32394,31360,40773,33258,52666,39267,109803,59779,44223,47003,31563,27915,30702,26877,25581,25979,10823,18156,1867,6892
2호선,도림천,10209,15717,64.95514411,5490,4241,129.4506013,9867,9130,108.0722892,159.2885375,111.8181818,37.86120592,548.6778846,1664,4395,1328,1045,3276,5920,3462,6166,2143,2586,1962,1246,1888,1666,1640,1329,3277,1641,2999,2005,3735,2796,2044,2649,1089,1680,922,1551,474,1280,241,1179,27,385
2호선,신정네거리,146300,36649,399.1923381,50052,33883,147.7200956,50147,140360,35.72741522,73.08313558,104.2319749,22.11306221,1035.867159,13550,61276,16546,7782,51795,5862,48783,13313,29176,9692,17254,9616,17124,11011,15674,13256,14650,22707,18786,30083,15248,46195,9191,39865,6922,24217,5889,21142,4952,21089,2336,14732,373,4313
2호선,종합운동장,83900,117506,71.40060933,54245,90456,59.96838242,141674,221138,64.06587742,82.94111834,37.9401098,315.1643295,153.7378077,143841,45640,7891,12186,21632,31165,31704,46330,22673,27825,16048,18531,17999,28439,20198,43486,38149,47489,54591,68285,30761,95452,21425,40215,34897,17186,89447,16378,48983,16326,4771,9608,640,3328
